Winner,Car,Victories
Michael Schumacher,Ferrari,72
Lewis Hamilton,Mercedes,41
Ayrton Senna,McLaren Honda,30
Sebastian Vettel,Red Bull Racing Renault,29
Lewis Hamilton,McLaren Mercedes,21
Alain Prost,McLaren TAG,19
Jim Clark,Lotus Climax,19
Fernando Alonso,Renault,17
Jackie Stewart,Tyrrell Ford,15
Nigel Mansell,Williams Renault,15
Niki Lauda,Ferrari,15
Nigel Mansell,Williams Honda,13
Alain Prost,McLaren Honda,11
Fernando Alonso,Ferrari,11
Michael Schumacher,Benetton Ford,10
Alain Prost,Renault,9
Jackie Stewart,Matra Ford,9
Michael Schumacher,Benetton Renault,9
Sebastian Vettel,RBR Renault,9
Sebastian Vettel,Ferrari,8
Alain Prost,Williams Renault,7
Niki Lauda,McLaren TAG,6
Alain Prost,Ferrari,5
Ayrton Senna,McLaren Ford,5
Jim Clark,Lotus Ford,5
Ayrton Senna,Lotus Renault,4
Fernando Alonso,McLaren Mercedes,4
Nigel Mansell,Ferrari,3
Ayrton Senna,Lotus Honda,2
Jackie Stewart,BRM,2
Niki Lauda,Brabham Alfa Romeo,2
Niki Lauda,McLaren Ford,2
Jackie Stewart,March Ford,1
Jim Clark,Lotus BRM,1
Sebastian Vettel,STR Ferrari,1
